,drive_view,control
1,./dataset/210126_07-25-00_data/imgs/drive_view0.jpg,S
2,./dataset/210126_07-25-00_data/imgs/drive_view1.jpg,S
3,./dataset/210126_07-25-00_data/imgs/drive_view2.jpg,
4,./dataset/210126_07-25-00_data/imgs/drive_view3.jpg,
5,./dataset/210126_07-25-00_data/imgs/drive_view4.jpg,
6,./dataset/210126_07-25-00_data/imgs/drive_view5.jpg,
7,./dataset/210126_07-25-00_data/imgs/drive_view6.jpg,
8,./dataset/210126_07-25-00_data/imgs/drive_view7.jpg,
9,./dataset/210126_07-25-00_data/imgs/drive_view8.jpg,W
10,./dataset/210126_07-25-00_data/imgs/drive_view9.jpg,W
11,./dataset/210126_07-25-00_data/imgs/drive_view10.jpg,W
12,./dataset/210126_07-25-00_data/imgs/drive_view11.jpg,W
13,./dataset/210126_07-25-00_data/imgs/drive_view12.jpg,W
14,./dataset/210126_07-25-00_data/imgs/drive_view13.jpg,W
15,./dataset/210126_07-25-00_data/imgs/drive_view14.jpg,W
16,./dataset/210126_07-25-00_data/imgs/drive_view15.jpg,W
17,./dataset/210126_07-25-00_data/imgs/drive_view16.jpg,A
18,./dataset/210126_07-25-00_data/imgs/drive_view17.jpg,A
19,./dataset/210126_07-25-00_data/imgs/drive_view18.jpg,A
20,./dataset/210126_07-25-00_data/imgs/drive_view19.jpg,
21,./dataset/210126_07-25-00_data/imgs/drive_view20.jpg,
22,./dataset/210126_07-25-00_data/imgs/drive_view21.jpg,
23,./dataset/210126_07-25-00_data/imgs/drive_view22.jpg,
24,./dataset/210126_07-25-00_data/imgs/drive_view23.jpg,
25,./dataset/210126_07-25-00_data/imgs/drive_view24.jpg,
26,./dataset/210126_07-25-00_data/imgs/drive_view25.jpg,
27,./dataset/210126_07-25-00_data/imgs/drive_view26.jpg,
28,./dataset/210126_07-25-00_data/imgs/drive_view27.jpg,
29,./dataset/210126_07-25-00_data/imgs/drive_view28.jpg,
30,./dataset/210126_07-25-00_data/imgs/drive_view29.jpg,W
31,./dataset/210126_07-25-00_data/imgs/drive_view30.jpg,W
32,./dataset/210126_07-25-00_data/imgs/drive_view31.jpg,W
33,./dataset/210126_07-25-00_data/imgs/drive_view32.jpg,W
34,./dataset/210126_07-25-00_data/imgs/drive_view33.jpg,W
35,./dataset/210126_07-25-00_data/imgs/drive_view34.jpg,W
36,./dataset/210126_07-25-00_data/imgs/drive_view35.jpg,W
37,./dataset/210126_07-25-00_data/imgs/drive_view36.jpg,W
38,./dataset/210126_07-25-00_data/imgs/drive_view37.jpg,W
39,./dataset/210126_07-25-00_data/imgs/drive_view38.jpg,
40,./dataset/210126_07-25-00_data/imgs/drive_view39.jpg,
41,./dataset/210126_07-25-00_data/imgs/drive_view40.jpg,
42,./dataset/210126_07-25-00_data/imgs/drive_view41.jpg,
43,./dataset/210126_07-25-00_data/imgs/drive_view42.jpg,W
44,./dataset/210126_07-25-00_data/imgs/drive_view43.jpg,W
45,./dataset/210126_07-25-00_data/imgs/drive_view44.jpg,W
46,./dataset/210126_07-25-00_data/imgs/drive_view45.jpg,W
47,./dataset/210126_07-25-00_data/imgs/drive_view46.jpg,W
48,./dataset/210126_07-25-00_data/imgs/drive_view47.jpg,
49,./dataset/210126_07-25-00_data/imgs/drive_view48.jpg,
50,./dataset/210126_07-25-00_data/imgs/drive_view49.jpg,
51,./dataset/210126_07-25-00_data/imgs/drive_view50.jpg,
52,./dataset/210126_07-25-00_data/imgs/drive_view51.jpg,
53,./dataset/210126_07-25-00_data/imgs/drive_view52.jpg,
54,./dataset/210126_07-25-00_data/imgs/drive_view53.jpg,
55,./dataset/210126_07-25-00_data/imgs/drive_view54.jpg,W
56,./dataset/210126_07-25-00_data/imgs/drive_view55.jpg,W
57,./dataset/210126_07-25-00_data/imgs/drive_view56.jpg,W
58,./dataset/210126_07-25-00_data/imgs/drive_view57.jpg,W
59,./dataset/210126_07-25-00_data/imgs/drive_view58.jpg,
60,./dataset/210126_07-25-00_data/imgs/drive_view59.jpg,
61,./dataset/210126_07-25-00_data/imgs/drive_view60.jpg,
62,./dataset/210126_07-25-00_data/imgs/drive_view61.jpg,
63,./dataset/210126_07-25-00_data/imgs/drive_view62.jpg,
64,./dataset/210126_07-25-00_data/imgs/drive_view63.jpg,
65,./dataset/210126_07-25-00_data/imgs/drive_view64.jpg,
66,./dataset/210126_07-25-00_data/imgs/drive_view65.jpg,
67,./dataset/210126_07-25-00_data/imgs/drive_view66.jpg,W
68,./dataset/210126_07-25-00_data/imgs/drive_view67.jpg,W
